Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,groupe d'enfants,Pupil Diameter Right [mm],Pupil Diameter Left [mm]
42753,617824.656,13:34:21:450,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,3,3,619.4981759702501,448.0446913980618,663.5853029884114,422.9049945871783,-,-,-,-,-,-,-,-,0.0663,0.2631,-0.9625,0.0556,0.2359,-0.9702,0,-,-,-,-,-,-,-,-,,,
42757,617891.455,13:34:21:517,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,3,3,628.5472806239281,446.76459243628267,648.908892137872,423.851354432349,-,-,-,-,-,-,-,-,0.0785,0.2617,-0.962,0.0562,0.2325,-0.971,0,-,-,-,-,-,-,-,-,,,
42761,617958.253,13:34:21:583,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,3,3,634.0250321841434,441.1847339285463,657.518726899664,425.1793411733955,-,-,-,-,-,-,-,-,0.0789,0.2628,-0.9616,0.054,0.2327,-0.9711,0,-,-,-,-,-,-,-,-,,,
42765,618025.052,13:34:21:650,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,4,4,613.352043777614,419.37225075305173,633.3633264784755,407.2737696776237,-,-,-,-,-,-,-,-,-0.002,0.4347,-0.9006,-0.0349,0.4151,-0.9091,0,-,-,-,-,-,-,-,-,,,
42769,618091.851,13:34:21:717,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,4,4,603.4338672666224,400.572562753793,617.7204795704158,393.26521118514245,-,-,-,-,-,-,-,-,-0.0018,0.4433,-0.8964,-0.0285,0.4206,-0.9068,0,-,-,-,-,-,-,-,-,,,
42773,618158.65,13:34:21:784,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,4,4,581.5365860202953,383.6470250374933,599.9210978210348,381.5188066282942,-,-,-,-,-,-,-,-,-0.026,0.4379,-0.8986,-0.034,0.4277,-0.9033,0,-,-,-,-,-,-,-,-,,,
42777,618225.437,13:34:21:851,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,4,4,569.9052643706232,374.286526330102,585.5222903624028,368.2913663937597,-,-,-,-,-,-,-,-,0.0089,0.4352,-0.9003,-0.0311,0.4279,-0.9033,0,-,-,-,-,-,-,-,-,,,
42781,618292.211,13:34:21:917,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,4,4,545.0142836819005,371.70318609102634,573.775683122162,362.68298228294253,-,-,-,-,-,-,-,-,-0.0659,0.4161,-0.9069,-0.0404,0.4015,-0.915,0,-,-,-,-,-,-,-,-,,,
42785,618358.986,13:34:21:984,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,4,4,526.701411010047,370.514249596131,564.745014817724,355.3449509059594,-,-,-,-,-,-,-,-,-0.0774,0.4232,-0.9027,-0.0394,0.402,-0.9148,0,-,-,-,-,-,-,-,-,,,
42789,618425.76,13:34:22:051,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,5,4,512.729180120858,365.83836404619876,558.0506962024319,355.4008074772413,-,-,-,-,-,-,-,-,-0.0597,0.4214,-0.9049,-0.0422,0.3978,-0.9165,0,-,-,-,-,-,-,-,-,,,
42793,618492.531,13:34:22:118,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,5,4,523.3122664031976,359.94207809097577,561.5897091218773,356.97271158128007,-,-,-,-,-,-,-,-,-0.0103,0.4134,-0.9105,-0.0396,0.4025,-0.9146,0,-,-,-,-,-,-,-,-,,,
42797,618559.298,13:34:22:185,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,-,5,456.6994590113212,333.34766264752943,582.9671235062063,375.48399580586283,-,-,-,-,-,-,-,-,0,0,0,0.0583,0.1954,-0.979,0,-,-,-,-,-,-,-,-,,,
42801,618626.065,13:34:22:251,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,-,5,406.7307243191721,313.4040807404308,603.0936709947455,391.4247446169843,-,-,-,-,-,-,-,-,0,0,0,0.0503,0.1966,-0.9792,0,-,-,-,-,-,-,-,-,,,
42805,618692.832,13:34:22:318,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,1,5,489.8685821005362,348.1794476838081,613.6955984789233,405.3397719235969,-,-,-,-,-,-,-,-,0.1503,0.2607,-0.9537,0.0507,0.2042,-0.9776,0,-,-,-,-,-,-,-,-,,,
42809,618759.599,13:34:22:385,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,1,5,431.67243667445126,324.5294724682222,626.644341480544,415.3526428219169,-,-,-,-,-,-,-,-,0,0,0,0.0538,0.2173,-0.9746,0,-,-,-,-,-,-,-,-,,,
42813,618826.366,13:34:22:452,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,6,5,497.0762203098682,349.0901022861352,634.3704161845071,422.66033111745094,-,-,-,-,-,-,-,-,0.1119,0.2796,-0.9536,0.0476,0.2273,-0.9726,0,-,-,-,-,-,-,-,-,,,
42817,618893.133,13:34:22:518,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,6,5,544.8891322028861,368.367859437364,637.2519784350244,431.3115226874811,-,-,-,-,-,-,-,-,0.0975,0.2755,-0.9563,0.0493,0.2342,-0.9709,0,-,-,-,-,-,-,-,-,,,
42821,618959.9,13:34:22:585,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,6,5,578.5523088225028,387.0515720755635,635.5142356401724,433.8116203639619,-,-,-,-,-,-,-,-,0.0799,0.27,-0.9595,0.0431,0.2278,-0.9728,0,-,-,-,-,-,-,-,-,,,
42825,619026.667,13:34:22:652,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,6,5,604.7086877998739,402.2453042237811,642.3027210746299,432.823401810458,-,-,-,-,-,-,-,-,0.0802,0.278,-0.9572,0.0472,0.2317,-0.9716,0,-,-,-,-,-,-,-,-,,,
42829,619093.448,13:34:22:719,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,7,5,616.645008031177,412.73028392067556,641.1813366667565,426.965050727993,-,-,-,-,-,-,-,-,0.0749,0.2712,-0.9596,0.0501,0.2291,-0.9721,0,-,-,-,-,-,-,-,-,,,
42833,619160.229,13:34:22:785,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,7,5,625.6440485411832,419.2017647632173,647.1442651119036,433.3038660343624,-,-,-,-,-,-,-,-,0.0785,0.2658,-0.9608,0.05,0.2281,-0.9723,0,-,-,-,-,-,-,-,-,,,
42837,619227.01,13:34:22:852,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,8,5,643.0033303695212,408.3749100089109,658.9838330717561,416.12585981088364,-,-,-,-,-,-,-,-,0.1398,0.3968,-0.9072,0.1127,0.3732,-0.9209,0,-,-,-,-,-,-,-,-,,,
42841,619293.791,13:34:22:919,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,8,6,665.5521052831577,397.2539998101697,676.6520024713542,401.8877101830675,-,-,-,-,-,-,-,-,0.1516,0.4222,-0.8937,0.1248,0.4077,-0.9045,0,-,-,-,-,-,-,-,-,,,
42845,619360.572,13:34:22:986,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,8,6,683.5707568288599,386.6330913357302,683.5900339043334,389.0231966818192,-,-,-,-,-,-,-,-,0.1546,0.4302,-0.8894,0.1237,0.4122,-0.9026,0,-,-,-,-,-,-,-,-,,,
42849,619427.352,13:34:23:053,Trial021,neutre visage gris.jpg,24,DarkBlue,53.6387,Eye,8,6,694.0044344835728,371.4412268724304,694.609075658553,378.2034268567313,-,-,-,-,-,-,-,-,0.1523,0.4402,-0.8849,0.1274,0.41,-0.9031,0,-,-,-,-,-,-,-,-,,,
